日期,入资类型,入资金额
2013-01-05,现金入资,2013.15
2012-09-17,现金入资,200.0
2011-05-11,体验金入资,100.0
2010-03-24,体验金入资,2000.0
2010-03-09,体验金入资,100.0
2010-03-04,现金入资,50.0
2010-01-18,体验金入资,16.75
2010-01-15,体验金入资,13.96
2010-01-13,体验金入资,14.39
2010-01-12,体验金入资,11.65
2009-06-26,体验金入资,100000.0
2008-08-05,体验金入资,100000.0
2008-07-21,体验金入资,10000.0
2008-07-03,体验金入资,10000.0
2008-06-11,体验金入资,10000.0
2008-05-15,体验金入资,10000.0
2008-01-25,现金入资,1.0
2008-01-24,现金入资,1.0
2008-01-23,现金入资,0.01
2008-01-09,体验金入资,10000.0
2007-12-27,现金入资,0.01
2007-12-26,体验金入资,500.0
2007-12-20,现金入资,0.01
